Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Boxcar,Gin,N/A,Whiskey sour glass,N/A,Gin,1 1/2 oz ,Triple sec,1 oz ,Lemon juice,1 tsp ,Grenadine,1/2 tsp ,Egg white,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a sour glass.,,,,,,,,,,,,,,,,,,,,
Big Red,Other,N/A,Shot glass,N/A,Irish cream,1/2 oz ,Goldschlager,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour ingredients into 1 ounce shot glass.,,,,,,,,,,,,,,,,,,,,,,
Bellini,Champagne,N/A,Champagne Flute,N/A,Champagne,6 oz ,Peach schnapps,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour peach purée into chilled flute, add sparkling wine.",2: Stir gently.,,,,,,,,,,,,,,,,,,,,,
Bramble,Gin,N/A,Old-Fashioned glass,N/A,Gin,4 cl,lemon juice,1.5 cl,Sugar syrup,1 cl,Creme de Mure,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,1: Fill glass with crushed ice.,"2: Build gin, lemon juice and simple syrup over.","3: Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect.",4: Garnish with two blackberries and lemon slice.,,,,,,,,,,,,,,,,,,,
Balmoral,Scotch,N/A,Cocktail glass,N/A,Scotch,1 1/2 oz ,Sweet Vermouth,1/2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,,,,,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine all of the ingredients.",2: Stir well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
Bluebird,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz ,Triple sec,1/2 oz ,Blue Curacao,1/2 oz ,Bitters,2 dashes ,Maraschino cherry,1 ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters.",2: Stir well.,3: Strain into a cocktail glass and garnish with the lemon twist and the cherry.,,,,,,,,,,,,,,,,,,,,
Brooklyn,Whiskey,N/A,Cocktail glass,N/A,Rye Whiskey,2 oz,Dry Vermouth,1 oz,Maraschino Liqueur,1/4 oz,Angostura Bitters,3 dashes,Maraschino Cherry,1,,,,,,,,,,,,,,,,,,,,,1: Combine ingredients with ice and stir until well-chilled.,2: Strain into a chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Boomerang,Gin,N/A,Cocktail glass,N/A,Gin,2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,Maraschino liqueur,1/2 tsp ,Maraschino cherry,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur.",2: Stir well.,3: Strain into a cocktail glass and garnish with the cherry.,,,,,,,,,,,,,,,,,,,,
Barracuda,Rum,N/A,Margarita glass,N/A,Rum,4.5 cl,Galliano,1.5 cl,Pineapple Juice,6 cl,Lime Juice, 1 dash,Prosecco,top up ,,,,,,,,,,,,,,,,,,,,,1: Shake pour ingredients with ice.,"2: Strain into glass, top with Sparkling wine.",,,,,,,,,,,,,,,,,,,,,
Brigadier,Other,N/A,Coupe Glass,N/A,Hot Chocolate,4 oz,Green Chartreuse,1 oz,Cherry Heering,1 oz,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix ingredients in a warmed mug and stir.,,,,,,,,,,,,,,,,,,,,,,
